{
  {
    {0, 0, ENTITY_BASE_TILE},
    {256, 256, ENTITY_BASE_TILE},
    {256, 288, ENTITY_BASE_TILE},
    {256, 320, ENTITY_BASE_TILE},
    {256, 352, ENTITY_BASE_TILE},
    {288, 256, ENTITY_BASE_TILE},
    {288, 288, ENTITY_BASE_TILE},
    {288, 320, ENTITY_BASE_TILE},
    {288, 352, ENTITY_BASE_TILE},
  },
  {
    {160, 384, ENTITY_BASE_TILE},
    {160, 416, ENTITY_BASE_TILE},
    {160, 448, ENTITY_BASE_TILE},
    {160, 480, ENTITY_BASE_TILE},
    {192, 384, ENTITY_BASE_TILE},
    {192, 416, ENTITY_BASE_TILE},
    {192, 448, ENTITY_BASE_TILE},
    {192, 480, ENTITY_BASE_TILE},
    {224, 384, ENTITY_BASE_TILE},
    {224, 416, ENTITY_BASE_TILE},
    {224, 448, ENTITY_BASE_TILE},
    {224, 480, ENTITY_BASE_TILE},
    {256, 384, ENTITY_BASE_TILE},
    {256, 416, ENTITY_BASE_TILE},
    {256, 448, ENTITY_BASE_TILE},
    {256, 480, ENTITY_BASE_TILE},
    {288, 384, ENTITY_BASE_TILE},
    {288, 416, ENTITY_BASE_TILE},
    {288, 448, ENTITY_BASE_TILE},
    {288, 480, ENTITY_BASE_TILE},
  },
  {
    {160, 512, ENTITY_BASE_TILE},
    {160, 544, ENTITY_BASE_TILE},
    {160, 576, ENTITY_BASE_TILE},
    {160, 608, ENTITY_BASE_TILE},
    {192, 512, ENTITY_BASE_TILE},
    {192, 544, ENTITY_BASE_TILE},
    {192, 576, ENTITY_BASE_TILE},
    {192, 608, ENTITY_BASE_TILE},
    {224, 512, ENTITY_BASE_TILE},
    {224, 544, ENTITY_BASE_TILE},
    {224, 576, ENTITY_BASE_TILE},
    {224, 608, ENTITY_BASE_TILE},
    {256, 512, ENTITY_BASE_TILE},
    {256, 544, ENTITY_BASE_TILE},
    {256, 576, ENTITY_BASE_TILE},
    {256, 608, ENTITY_BASE_TILE},
    {288, 512, ENTITY_BASE_TILE},
    {288, 544, ENTITY_BASE_TILE},
    {288, 576, ENTITY_BASE_TILE},
    {288, 608, ENTITY_BASE_TILE},
  },
}
{
  {
    {320, 0, ENTITY_BASE_TILE},
    {320, 32, ENTITY_BASE_TILE},
    {320, 64, ENTITY_BASE_TILE},
    {320, 96, ENTITY_BASE_TILE},
    {352, 0, ENTITY_BASE_TILE},
    {352, 32, ENTITY_BASE_TILE},
    {352, 64, ENTITY_BASE_TILE},
    {352, 96, ENTITY_BASE_TILE},
    {384, 0, ENTITY_BASE_TILE},
    {384, 32, ENTITY_BASE_TILE},
    {384, 64, ENTITY_BASE_TILE},
    {384, 96, ENTITY_BASE_TILE},
    {416, 0, ENTITY_BASE_TILE},
    {416, 32, ENTITY_BASE_TILE},
    {416, 64, ENTITY_BASE_TILE},
    {416, 96, ENTITY_BASE_TILE},
    {448, 0, ENTITY_BASE_TILE},
    {448, 32, ENTITY_BASE_TILE},
    {448, 64, ENTITY_BASE_TILE},
    {448, 96, ENTITY_BASE_TILE},
  },
  {
    {320, 128, ENTITY_BASE_TILE},
    {320, 160, ENTITY_BASE_TILE},
    {320, 192, ENTITY_BASE_TILE},
    {320, 224, ENTITY_BASE_TILE},
    {352, 128, ENTITY_BASE_TILE},
    {352, 160, ENTITY_BASE_TILE},
    {352, 192, ENTITY_BASE_TILE},
    {352, 224, ENTITY_BASE_TILE},
    {384, 128, ENTITY_BASE_TILE},
    {384, 160, ENTITY_BASE_TILE},
    {384, 192, ENTITY_BASE_TILE},
    {384, 224, ENTITY_BASE_TILE},
    {416, 128, ENTITY_BASE_TILE},
    {416, 160, ENTITY_BASE_TILE},
    {416, 192, ENTITY_BASE_TILE},
    {416, 224, ENTITY_BASE_TILE},
    {448, 128, ENTITY_BASE_TILE},
    {448, 160, ENTITY_BASE_TILE},
    {448, 192, ENTITY_BASE_TILE},
    {448, 224, ENTITY_BASE_TILE},
  },
  {
    {320, 256, ENTITY_BASE_TILE},
    {320, 288, ENTITY_BASE_TILE},
    {320, 320, ENTITY_BASE_TILE},
    {320, 352, ENTITY_BASE_TILE},
    {352, 256, ENTITY_BASE_TILE},
    {352, 288, ENTITY_BASE_TILE},
    {352, 320, ENTITY_BASE_TILE},
    {352, 352, ENTITY_BASE_TILE},
    {384, 256, ENTITY_BASE_TILE},
    {384, 288, ENTITY_BASE_TILE},
    {384, 320, ENTITY_BASE_TILE},
    {384, 352, ENTITY_BASE_TILE},
    {416, 256, ENTITY_BASE_TILE},
    {416, 288, ENTITY_BASE_TILE},
    {416, 320, ENTITY_BASE_TILE},
    {416, 352, ENTITY_BASE_TILE},
    {448, 256, ENTITY_BASE_TILE},
    {448, 288, ENTITY_BASE_TILE},
    {448, 320, ENTITY_BASE_TILE},
    {448, 352, ENTITY_BASE_TILE},
  },
  {
    {320, 384, ENTITY_BASE_TILE},
    {320, 416, ENTITY_BASE_TILE},
    {320, 448, ENTITY_BASE_TILE},
    {320, 480, ENTITY_BASE_TILE},
    {352, 384, ENTITY_BASE_TILE},
    {352, 416, ENTITY_BASE_TILE},
    {352, 448, ENTITY_BASE_TILE},
    {352, 480, ENTITY_BASE_TILE},
    {384, 384, ENTITY_BASE_TILE},
    {384, 416, ENTITY_BASE_TILE},
    {384, 448, ENTITY_BASE_TILE},
    {384, 480, ENTITY_BASE_TILE},
    {416, 384, ENTITY_BASE_TILE},
    {416, 416, ENTITY_BASE_TILE},
    {416, 448, ENTITY_BASE_TILE},
    {416, 480, ENTITY_BASE_TILE},
    {448, 384, ENTITY_BASE_TILE},
    {448, 416, ENTITY_BASE_TILE},
    {448, 448, ENTITY_BASE_TILE},
    {448, 480, ENTITY_BASE_TILE},
  },
  {
    {320, 512, ENTITY_BASE_TILE},
    {320, 544, ENTITY_BASE_TILE},
    {320, 576, ENTITY_BASE_TILE},
    {320, 608, ENTITY_BASE_TILE},
    {352, 512, ENTITY_BASE_TILE},
    {352, 544, ENTITY_BASE_TILE},
    {352, 576, ENTITY_BASE_TILE},
    {352, 608, ENTITY_BASE_TILE},
    {384, 512, ENTITY_BASE_TILE},
    {384, 544, ENTITY_BASE_TILE},
    {384, 576, ENTITY_BASE_TILE},
    {384, 608, ENTITY_BASE_TILE},
    {416, 512, ENTITY_BASE_TILE},
    {416, 544, ENTITY_BASE_TILE},
    {416, 576, ENTITY_BASE_TILE},
    {416, 608, ENTITY_BASE_TILE},
    {448, 512, ENTITY_BASE_TILE},
    {448, 544, ENTITY_BASE_TILE},
    {448, 576, ENTITY_BASE_TILE},
    {448, 608, ENTITY_BASE_TILE},
  },
}
{
  {
    {480, 0, ENTITY_BASE_TILE},
    {480, 32, ENTITY_BASE_TILE},
    {480, 64, ENTITY_BASE_TILE},
    {480, 96, ENTITY_BASE_TILE},
    {512, 0, ENTITY_BASE_TILE},
    {512, 32, ENTITY_BASE_TILE},
    {512, 64, ENTITY_BASE_TILE},
    {512, 96, ENTITY_BASE_TILE},
    {544, 0, ENTITY_BASE_TILE},
    {544, 32, ENTITY_BASE_TILE},
    {544, 64, ENTITY_BASE_TILE},
    {544, 96, ENTITY_BASE_TILE},
    {576, 0, ENTITY_BASE_TILE},
    {576, 32, ENTITY_BASE_TILE},
    {576, 64, ENTITY_BASE_TILE},
    {576, 96, ENTITY_BASE_TILE},
    {608, 0, ENTITY_BASE_TILE},
    {608, 32, ENTITY_BASE_TILE},
    {608, 64, ENTITY_BASE_TILE},
    {608, 96, ENTITY_BASE_TILE},
  },
  {
    {480, 128, ENTITY_BASE_TILE},
    {480, 160, ENTITY_BASE_TILE},
    {480, 192, ENTITY_BASE_TILE},
    {480, 224, ENTITY_BASE_TILE},
    {512, 128, ENTITY_BASE_TILE},
    {512, 160, ENTITY_BASE_TILE},
    {512, 192, ENTITY_BASE_TILE},
    {512, 224, ENTITY_BASE_TILE},
    {544, 128, ENTITY_BASE_TILE},
    {544, 160, ENTITY_BASE_TILE},
    {544, 192, ENTITY_BASE_TILE},
    {544, 224, ENTITY_BASE_TILE},
    {576, 128, ENTITY_BASE_TILE},
    {576, 160, ENTITY_BASE_TILE},
    {576, 192, ENTITY_BASE_TILE},
    {576, 224, ENTITY_BASE_TILE},
    {608, 128, ENTITY_BASE_TILE},
    {608, 160, ENTITY_BASE_TILE},
    {608, 192, ENTITY_BASE_TILE},
    {608, 224, ENTITY_BASE_TILE},
  },
  {
    {480, 256, ENTITY_BASE_TILE},
    {480, 288, ENTITY_BASE_TILE},
    {480, 320, ENTITY_BASE_TILE},
    {480, 352, ENTITY_BASE_TILE},
    {512, 256, ENTITY_BASE_TILE},
    {512, 288, ENTITY_BASE_TILE},
    {512, 320, ENTITY_BASE_TILE},
    {512, 352, ENTITY_BASE_TILE},
    {544, 256, ENTITY_BASE_TILE},
    {544, 288, ENTITY_BASE_TILE},
    {544, 320, ENTITY_BASE_TILE},
    {544, 352, ENTITY_BASE_TILE},
    {576, 256, ENTITY_BASE_TILE},
    {576, 288, ENTITY_BASE_TILE},
    {576, 320, ENTITY_BASE_TILE},
    {576, 352, ENTITY_BASE_TILE},
    {608, 256, ENTITY_BASE_TILE},
    {608, 288, ENTITY_BASE_TILE},
    {608, 320, ENTITY_BASE_TILE},
    {608, 352, ENTITY_BASE_TILE},
  },
  {
    {480, 384, ENTITY_BASE_TILE},
    {480, 416, ENTITY_BASE_TILE},
    {480, 448, ENTITY_BASE_TILE},
    {480, 480, ENTITY_BASE_TILE},
    {512, 384, ENTITY_BASE_TILE},
    {512, 416, ENTITY_BASE_TILE},
    {512, 448, ENTITY_BASE_TILE},
    {512, 480, ENTITY_BASE_TILE},
    {544, 384, ENTITY_BASE_TILE},
    {544, 416, ENTITY_BASE_TILE},
    {544, 448, ENTITY_BASE_TILE},
    {544, 480, ENTITY_BASE_TILE},
    {576, 384, ENTITY_BASE_TILE},
    {576, 416, ENTITY_BASE_TILE},
    {576, 448, ENTITY_BASE_TILE},
    {576, 480, ENTITY_BASE_TILE},
    {608, 384, ENTITY_BASE_TILE},
    {608, 416, ENTITY_BASE_TILE},
    {608, 448, ENTITY_BASE_TILE},
    {608, 480, ENTITY_BASE_TILE},
  },
  {
    {480, 512, ENTITY_BASE_TILE},
    {480, 544, ENTITY_BASE_TILE},
    {480, 576, ENTITY_BASE_TILE},
    {480, 608, ENTITY_BASE_TILE},
    {512, 512, ENTITY_BASE_TILE},
    {512, 544, ENTITY_BASE_TILE},
    {512, 576, ENTITY_BASE_TILE},
    {512, 608, ENTITY_BASE_TILE},
    {544, 512, ENTITY_BASE_TILE},
    {544, 544, ENTITY_BASE_TILE},
    {544, 576, ENTITY_BASE_TILE},
    {544, 608, ENTITY_BASE_TILE},
    {576, 512, ENTITY_BASE_TILE},
    {576, 544, ENTITY_BASE_TILE},
    {576, 576, ENTITY_BASE_TILE},
    {576, 608, ENTITY_BASE_TILE},
    {608, 512, ENTITY_BASE_TILE},
    {608, 544, ENTITY_BASE_TILE},
    {608, 576, ENTITY_BASE_TILE},
    {608, 608, ENTITY_BASE_TILE},
  },
}
{
  {
    {640, 0, ENTITY_BASE_TILE},
    {640, 32, ENTITY_BASE_TILE},
    {640, 64, ENTITY_BASE_TILE},
    {640, 96, ENTITY_BASE_TILE},
    {672, 0, ENTITY_BASE_TILE},
    {672, 32, ENTITY_BASE_TILE},
    {672, 64, ENTITY_BASE_TILE},
    {672, 96, ENTITY_BASE_TILE},
    {704, 0, ENTITY_BASE_TILE},
    {704, 32, ENTITY_BASE_TILE},
    {704, 64, ENTITY_BASE_TILE},
    {704, 96, ENTITY_BASE_TILE},
    {736, 0, ENTITY_BASE_TILE},
    {736, 32, ENTITY_BASE_TILE},
    {736, 64, ENTITY_BASE_TILE},
    {736, 96, ENTITY_BASE_TILE},
    {768, 0, ENTITY_BASE_TILE},
    {768, 32, ENTITY_BASE_TILE},
    {768, 64, ENTITY_BASE_TILE},
    {768, 96, ENTITY_BASE_TILE},
  },
  {
    {640, 128, ENTITY_BASE_TILE},
    {640, 160, ENTITY_BASE_TILE},
    {640, 192, ENTITY_BASE_TILE},
    {640, 224, ENTITY_BASE_TILE},
    {672, 128, ENTITY_BASE_TILE},
    {672, 160, ENTITY_BASE_TILE},
    {672, 192, ENTITY_BASE_TILE},
    {672, 224, ENTITY_BASE_TILE},
    {704, 128, ENTITY_BASE_TILE},
    {704, 160, ENTITY_BASE_TILE},
    {704, 192, ENTITY_BASE_TILE},
    {704, 224, ENTITY_BASE_TILE},
    {736, 128, ENTITY_BASE_TILE},
    {736, 160, ENTITY_BASE_TILE},
    {736, 192, ENTITY_BASE_TILE},
    {736, 224, ENTITY_BASE_TILE},
    {768, 128, ENTITY_BASE_TILE},
    {768, 160, ENTITY_BASE_TILE},
    {768, 192, ENTITY_BASE_TILE},
    {768, 224, ENTITY_BASE_TILE},
  },
  {
    {640, 256, ENTITY_BASE_TILE},
    {640, 288, ENTITY_BASE_TILE},
    {640, 320, ENTITY_BASE_TILE},
    {640, 352, ENTITY_BASE_TILE},
    {672, 256, ENTITY_BASE_TILE},
    {672, 288, ENTITY_BASE_TILE},
    {672, 320, ENTITY_BASE_TILE},
    {672, 352, ENTITY_BASE_TILE},
    {704, 256, ENTITY_BASE_TILE},
    {704, 288, ENTITY_BASE_TILE},
    {704, 320, ENTITY_BASE_TILE},
    {704, 352, ENTITY_BASE_TILE},
    {736, 256, ENTITY_BASE_TILE},
    {736, 288, ENTITY_BASE_TILE},
    {736, 320, ENTITY_BASE_TILE},
    {736, 352, ENTITY_BASE_TILE},
    {768, 256, ENTITY_BASE_TILE},
    {768, 288, ENTITY_BASE_TILE},
    {768, 320, ENTITY_BASE_TILE},
    {768, 352, ENTITY_BASE_TILE},
  },
  {
    {640, 384, ENTITY_BASE_TILE},
    {640, 416, ENTITY_BASE_TILE},
    {640, 448, ENTITY_BASE_TILE},
    {640, 480, ENTITY_BASE_TILE},
    {672, 384, ENTITY_BASE_TILE},
    {672, 416, ENTITY_BASE_TILE},
    {672, 448, ENTITY_BASE_TILE},
    {672, 480, ENTITY_BASE_TILE},
    {704, 384, ENTITY_BASE_TILE},
    {704, 416, ENTITY_BASE_TILE},
    {704, 448, ENTITY_BASE_TILE},
    {704, 480, ENTITY_BASE_TILE},
    {736, 384, ENTITY_BASE_TILE},
    {736, 416, ENTITY_BASE_TILE},
    {736, 448, ENTITY_BASE_TILE},
    {736, 480, ENTITY_BASE_TILE},
    {768, 384, ENTITY_BASE_TILE},
    {768, 416, ENTITY_BASE_TILE},
    {768, 448, ENTITY_BASE_TILE},
    {768, 480, ENTITY_BASE_TILE},
  },
  {
    {640, 512, ENTITY_BASE_TILE},
    {640, 544, ENTITY_BASE_TILE},
    {640, 576, ENTITY_BASE_TILE},
    {640, 608, ENTITY_BASE_TILE},
    {672, 512, ENTITY_BASE_TILE},
    {672, 544, ENTITY_BASE_TILE},
    {672, 576, ENTITY_BASE_TILE},
    {672, 608, ENTITY_BASE_TILE},
    {704, 512, ENTITY_BASE_TILE},
    {704, 544, ENTITY_BASE_TILE},
    {704, 576, ENTITY_BASE_TILE},
    {704, 608, ENTITY_BASE_TILE},
    {736, 512, ENTITY_BASE_TILE},
    {736, 544, ENTITY_BASE_TILE},
    {736, 576, ENTITY_BASE_TILE},
    {736, 608, ENTITY_BASE_TILE},
    {768, 512, ENTITY_BASE_TILE},
    {768, 544, ENTITY_BASE_TILE},
    {768, 576, ENTITY_BASE_TILE},
    {768, 608, ENTITY_BASE_TILE},
  },
}
